question,facts,results,precision,recall
['What is the parent company of Edsel?'],"['http://dbpedia.org/property/parent,']",[],,
['Give me a count of everything owned by the network whose sister name is The CW?'],"['http://dbpedia.org/property/sisterNames,http://dbpedia.org/property/network,']",[' [        "http://xmlns.com/foaf/0.1/name"    ]'],['0.5'],['1.0']
['In which state does the valley bordering the Modoc plateau lie?'],"['http://dbpedia.org/property/border,http://dbpedia.org/ontology/state,http://dbpedia.org/ontology/Valley,']",[],,
['Name the common alma mater of the Henry Morton Dexter and Jack McGregor'],"['http://dbpedia.org/ontology/education,http://dbpedia.org/ontology/education,']","[' [        ""http://dbpedia.org/ontology/almaMater"",         ""http://dbpedia.org/ontology/parent""    ]']",['0.0'],['0.0']
['Which famous writer was married to Jill Krementz and had a son named Edith Vonnegut ?'],"['http://dbpedia.org/ontology/spouse,http://dbpedia.org/ontology/child,http://dbpedia.org/ontology/Writer,']","[' [        ""http://dbpedia.org/ontology/child"",         ""http://dbpedia.org/ontology/spouse""    ]']",['1.0'],['1.0']
['Which are the races in which Martin Molony participated?'],"['http://dbpedia.org/ontology/race,']",[' [        "http://dbpedia.org/ontology/race"    ]'],['1.0'],['1.0']
['What is the main common interests of the Philip Novak and Timothy Morton?'],"['http://dbpedia.org/property/mainInterests,http://dbpedia.org/property/mainInterests,']",[],,
['What is the company which has Raymond Conner and Dennis Muilenburg as key person?'],"['http://dbpedia.org/property/keyPeople,http://dbpedia.org/property/keyPeople,http://dbpedia.org/ontology/Company,']",[],,
['What is the field of the Jon Speelman and occupation of the Karen Grigorian?'],"['http://dbpedia.org/ontology/field,http://dbpedia.org/ontology/occupation,']","[' [        ""http://dbpedia.org/ontology/occupation"",         ""http://dbpedia.org/ontology/field""    ]']",['1.0'],['1.0']
['List the maintainers of Pandaruan Bridge?'],"['http://dbpedia.org/ontology/maintainedBy,']",[' [        "http://purl.org/dc/terms/subject"    ]'],['0.0'],['0.0']
"['Name the river with source country in Zambia and source region as North-Western Province, Zambia?']","['http://dbpedia.org/ontology/sourceCountry,http://dbpedia.org/ontology/sourceRegion,http://dbpedia.org/ontology/River,']","[' [        ""http://dbpedia.org/property/region"",         ""http://dbpedia.org/ontology/region""    ]']",['0.333333333333'],['0.5']
['Who were the producers of the tenderfoot?'],"['http://dbpedia.org/ontology/producer,']",[' [        "http://dbpedia.org/ontology/producer"    ]'],['1.0'],['1.0']
['Is coffee a main ingredient of Hopje?'],"['http://dbpedia.org/property/mainIngredient,']",[],,
['Who has Saint Joseph and Mary as parents ?'],"['http://dbpedia.org/ontology/parent,http://dbpedia.org/ontology/parent,']",[' [        "http://dbpedia.org/ontology/parent"    ]'],['1.0'],['1.0']
['List the products of the company which published Tweenies: Game Time.'],"['http://dbpedia.org/property/publisher,http://dbpedia.org/property/products,']",[],,
["Which engine's successor's predecessor is BMW M10?"],"['http://dbpedia.org/ontology/predecessor,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Engine,']","[' [        ""http://dbpedia.org/ontology/successor"",         ""http://dbpedia.org/ontology/predecessor""    ]']",['1.0'],['1.0']
["Which person's successor is Samsu-iluna?"],"['http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Person,']",[' [        "http://dbpedia.org/ontology/successor"    ]'],['1.0'],['1.0']
['To which region does the Miluk language belong?'],"['http://dbpedia.org/property/region,']",[],,
['Name a person who was educated in Humes High School ?'],"['http://dbpedia.org/ontology/education,http://dbpedia.org/ontology/Person,']",[],,
['List the awards won by the writer of Face to Face ?'],"['http://dbpedia.org/property/writer,http://dbpedia.org/property/awards,']",[],,
['Does the Sicklefin lemon shark belong in the animal kingdom?'],"['http://dbpedia.org/ontology/kingdom,']",[' [        "http://dbpedia.org/ontology/kingdom"    ]'],['1.0'],['1.0']
['What is the local authority of Liverpool Institute High School for Boys ?'],"['http://dbpedia.org/ontology/localAuthority,']",[' [        "http://dbpedia.org/ontology/localAuthority"    ]'],['1.0'],['1.0']
['What is the place of birth of the Kira Plastinina and Sergey Ryazansky'],"['http://dbpedia.org/property/placeOfBirth,http://dbpedia.org/property/placeOfBirth,']",[],,
['Give me the places where people who worked in Church of England died in ?'],"['http://dbpedia.org/ontology/occupation,http://dbpedia.org/ontology/deathPlace,']",[' [        "http://dbpedia.org/ontology/occupation"    ]'],['1.0'],['1.0']
['What belongs to the families of Buccinidae and Buccinoidea?'],"['http://dbpedia.org/ontology/family,http://dbpedia.org/ontology/family,']",[' [        "http://dbpedia.org/ontology/class"    ]'],['0.0'],['0.0']
['List down all notable works of Neil Cross ?'],"['http://dbpedia.org/ontology/notableWork,']",[' [        "http://dbpedia.org/ontology/notableWork"    ]'],['1.0'],['1.0']
['What is the largest city of the country which have an assembly of Plymouth Savoy?'],"['http://dbpedia.org/ontology/assembly,http://dbpedia.org/ontology/largestCity,']",[' [        "http://dbpedia.org/ontology/assembly"    ]'],['1.0'],['1.0']
['Is Queen Latifah the narrator of Arctic Tale?'],"['http://dbpedia.org/property/narrator,']",[],,
["List the major shrines of the saints whose one of the shrine is St. Takla Haymanot's Church ?"],"['http://dbpedia.org/property/majorShrine,http://dbpedia.org/ontology/majorShrine,http://dbpedia.org/ontology/Saint,']",[' [        "http://dbpedia.org/ontology/majorShrine"    ]'],['1.0'],['1.0']
['How many companies were founded in Dallas?'],"['http://dbpedia.org/property/foundation,http://dbpedia.org/ontology/Company,']",[],,
['What are the mammals whose phylum is Chordate?'],"['http://dbpedia.org/ontology/phylum,http://dbpedia.org/ontology/Mammal,']",[' [        "http://dbpedia.org/ontology/phylum"    ]'],['1.0'],['1.0']
['What is the denomination of S. H. Kapadia ?'],"['http://dbpedia.org/property/religion,']",[],,
['Charles Willing Byrd was the governor under which politician?'],"['http://dbpedia.org/property/governor,']",[],,
['Who is the maker of the engine of Ford F-Series first generation ?'],"['http://dbpedia.org/property/engine,http://dbpedia.org/ontology/manufacturer,']",[' [        "http://dbpedia.org/ontology/engine"    ]'],['0.5'],['1.0']
["Who all have been judges on CTV Network's shows?"],"['http://dbpedia.org/ontology/network,http://dbpedia.org/property/judges,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/property/network"    ]'],['0.5'],['1.0']
,,[],,
,,[],,
"['Which rivers end in Old Saybrook, Connecticut?']","['http://dbpedia.org/ontology/mouthMountain,']",[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['0.0'],['0.0']
["Which TV show's executive producer is Douglas Netter and composed by Stewart Copeland ?"],"['http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/property/composer,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/ontology/producer"    ]'],['0.5'],['1.0']
['Name the television show whose network is TNT (TV channel) and Prime Time Entertainment Network?'],"['http://dbpedia.org/property/network,http://dbpedia.org/ontology/network,http://dbpedia.org/ontology/TelevisionShow,']","[' [        ""http://dbpedia.org/property/network"",         ""http://dbpedia.org/ontology/network""    ]']",['1.0'],['1.0']
['Where is the arena of WPC Dynamo Moscow situated?'],"['http://dbpedia.org/property/arena,']",[],,
['Name the founders of the record labels whose one of the founders is Frank Rogers ?'],"['http://dbpedia.org/property/founder,http://dbpedia.org/property/founder,http://dbpedia.org/ontology/RecordLabel,']",[],,
['What are the television shows whose starting music is composed by Ron Grainer?'],"['http://dbpedia.org/property/themeMusicComposer,http://dbpedia.org/ontology/TelevisionShow,']",[],,
['List the military branch of  Henry Hyde ?'],"['http://dbpedia.org/ontology/militaryBranch,']",[],,
['Who is the developer of Montecito Inn ?'],"['http://dbpedia.org/property/developer,']",[],,
['which planet was discovered by Urbain Le Verrier?'],"['http://dbpedia.org/ontology/discoverer,']",[' [        "http://dbpedia.org/ontology/discoverer"    ]'],['1.0'],['1.0']
['Name the parent company of Ford Falcon Cobra ?'],"['http://dbpedia.org/ontology/parentCompany,']",[' [        "http://dbpedia.org/ontology/parentCompany"    ]'],['1.0'],['1.0']
"['Where is the radio broadcasted in, whose sister station is CKFM-FM?']","['http://dbpedia.org/ontology/sisterStation,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/ontology/RadioStation,']",[' [        "http://dbpedia.org/ontology/radio"    ]'],['0.5'],['1.0']
['Does A foreign policy of freedom belong to the genre Politics?'],"['http://dbpedia.org/ontology/literaryGenre,']",[' [        "http://dbpedia.org/ontology/genre"    ]'],['0.0'],['0.0']
['For which common president did Jim Sasser and Mike McCurry work?'],"['http://dbpedia.org/ontology/president,http://dbpedia.org/ontology/president,']","[' [        ""http://dbpedia.org/ontology/president"",         ""http://dbpedia.org/ontology/successor""    ]']",['1.0'],['1.0']
["Jerry Bock's musicals has been adapted from how many things?"],"['http://dbpedia.org/property/music,http://dbpedia.org/ontology/basedOn,']",[],,
['What is the birth place of the children of Miguel Garca Granados ?'],"['http://dbpedia.org/property/children,http://dbpedia.org/ontology/birthPlace,']",[],,
['Titus software publishes which genre of games?'],"['http://dbpedia.org/property/publisher,http://dbpedia.org/ontology/genre,http://dbpedia.org/ontology/VideoGame,']",[],,
['Who are the spouse of the parents of Kimberly Stewart?'],"['http://dbpedia.org/ontology/parent,http://dbpedia.org/ontology/spouse,']","[' [        ""http://dbpedia.org/ontology/spouse"",         ""http://dbpedia.org/ontology/parent""    ]']",['1.0'],['1.0']
['What are the houses of Parliament Security Services ?'],"['http://dbpedia.org/property/houses,']",[],,
['Who is the governor of Carl McCall ?'],"['http://dbpedia.org/ontology/governor,']",[' [        "http://dbpedia.org/ontology/governor"    ]'],['1.0'],['1.0']
['What is the nickname of the city where Tuba Dei lives?'],"['http://dbpedia.org/property/city,http://dbpedia.org/property/nickname,']",[],,
['List the mascot of the universities which are a part of  National Collegiate Athletic Association.'],"['http://dbpedia.org/property/athletics,http://dbpedia.org/property/mascot,http://dbpedia.org/ontology/University,']",[],,
['What is the official residence of Fergus McMaster ?'],"['http://dbpedia.org/ontology/residence,']",[' [        "http://dbpedia.org/ontology/residence"    ]'],['1.0'],['1.0']
['Which university has chancellor as Nicholas S. Zeppos?'],"['http://dbpedia.org/property/chancellor,http://dbpedia.org/ontology/University,']",[],,
['What is the total number of  builder of the military structures whose builder is also United States?'],"['http://dbpedia.org/ontology/builder,http://dbpedia.org/ontology/builder,']",[],,
['List the associated musical artist of the current members of Al Bano and Romina Power?'],"['http://dbpedia.org/property/currentMembers,http://dbpedia.org/ontology/associatedMusicalArtist,']",[' [        "http://dbpedia.org/property/artist"    ]'],['0.0'],['0.0']
"['What team does John McGeever play for, which also employed Ben Dreith at some time?']","['http://dbpedia.org/ontology/occupation,http://dbpedia.org/ontology/team,']","[' [        ""http://dbpedia.org/ontology/team"",         ""http://dbpedia.org/ontology/birthPlace""    ]']",['0.5'],['0.5']
['What is the total number of guests on the show whose theme music is Let me be your star?'],"['http://dbpedia.org/property/music,http://dbpedia.org/property/guests,']",[],,
['Name the home town of Rolando Gomez ?'],"['http://dbpedia.org/property/homeTown,']",[],,
['Was Noko a band member of Luxuria?'],"['http://dbpedia.org/ontology/formerBandMember,']",[' [        "http://dbpedia.org/ontology/associatedMusicalArtist"    ]'],['0.0'],['0.0']
['Name some basketball players whose team is coached by Fred Hoiberg?'],"['http://dbpedia.org/ontology/coach,http://dbpedia.org/property/team,http://dbpedia.org/ontology/BasketballPlayer,']",[' [        "http://dbpedia.org/ontology/coach"    ]'],['1.0'],['1.0']
['Who is the prime minister that Michael Jeffery served?'],"['http://dbpedia.org/property/primeminister,']",[],,
['What are the movies whose music is composed by Vangelis?'],"['http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,']",[' [        "http://dbpedia.org/ontology/associatedMusicalArtist"    ]'],['0.0'],['0.0']
["Was Walt Disney the cinematographer of Mickey's Mellerdrammer?"],"['http://dbpedia.org/property/cinematography,']",[],,
['Who is the operator of Rainbow Warrior (1955) ?'],"['http://dbpedia.org/ontology/operator,']",[' [        "http://dbpedia.org/ontology/operator"    ]'],['1.0'],['1.0']
['To which sports team is Aubie the mascot?'],"['http://dbpedia.org/property/mascot,http://dbpedia.org/ontology/SportsTeam,']",[],,
['Which series are Lennier and Londo Mollari both from?'],"['http://dbpedia.org/ontology/series,http://dbpedia.org/ontology/series,']","[' [        ""http://dbpedia.org/ontology/series"",         ""http://dbpedia.org/ontology/publisher""    ]']",['1.0'],['1.0']
['Graduates of Somerville College have been in how many political parties?'],"['http://dbpedia.org/ontology/almaMater,http://dbpedia.org/ontology/party,']",[' [        "http://dbpedia.org/ontology/owningOrganisation"    ]'],['0.0'],['0.0']
['Count the number of battles fought by the military person involved in Morocco ?'],"['http://dbpedia.org/property/battles,http://dbpedia.org/property/battles,']",[],,
['Who is the office holder whose deputy was Andrew Peacock and predecessor was Alexander Downer?'],"['http://dbpedia.org/property/deputy,http://dbpedia.org/ontology/predecessor,http://dbpedia.org/ontology/OfficeHolder,']",[' [        "http://dbpedia.org/ontology/predecessor"    ]'],['1.0'],['1.0']
['Who was the editor of the newspaper owned by the the UK government?'],"['http://dbpedia.org/property/owners,http://dbpedia.org/property/editor,http://dbpedia.org/ontology/Newspaper,']",[],,
['List all the collaborators of the artist which has collaborated with sanremo Music Festival ?'],"['http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/ontology/Artist,']","[' [        ""http://dbpedia.org/ontology/associatedMusicalArtist"",         ""http://dbpedia.org/ontology/associatedBand""    ]']",['1.0'],['1.0']
['Where did the plays written by Robert Schenkkan take place?'],"['http://dbpedia.org/property/writer,http://dbpedia.org/property/place,http://dbpedia.org/ontology/Play,']",[],,
['Which baseball team is owned by Robert Nutting?'],"['http://dbpedia.org/property/owner,http://dbpedia.org/ontology/BaseballTeam,']",[],,
['Which sports are played typically in private schools?'],"['http://dbpedia.org/property/schooltype,http://dbpedia.org/ontology/sport,']",[' [        "http://dbpedia.org/ontology/almaMater"    ]'],['0.0'],['0.0']
['Was Marie Curie a doctoral student of Henri Becquerel?'],"['http://dbpedia.org/ontology/doctoralStudent,']",[' [        "http://dbpedia.org/ontology/doctoralStudent"    ]'],['1.0'],['1.0']
["List the television shows whose network's sister names is N-tv."],"['http://dbpedia.org/property/sisterNames,http://dbpedia.org/property/network,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/property/network"    ]'],['1.0'],['1.0']
['What are some other services of the company whose service is Onedrive?'],"['http://dbpedia.org/ontology/service,http://dbpedia.org/property/services,http://dbpedia.org/ontology/Company,']",[' [        "http://dbpedia.org/property/onlineService"    ]'],['0.0'],['0.0']
"['Where does the railway tracks start, which ends in Kazan?']","['http://dbpedia.org/ontology/routeEnd,http://dbpedia.org/ontology/routeStart,http://dbpedia.org/ontology/RailwayLine,']",[' [        "http://dbpedia.org/ontology/routeEnd"    ]'],['1.0'],['1.0']
['Give me a count of all ice hockey players whose teams are headcoached by John Tortorella?'],"['http://dbpedia.org/property/headCoach,http://dbpedia.org/ontology/team,http://dbpedia.org/ontology/IceHockeyPlayer,']",[],,
['Name all the venues of the convention which has also been hosted in San Diego Convention ?'],"['http://dbpedia.org/property/venue,http://dbpedia.org/property/venue,']",[' [        "http://dbpedia.org/property/venue"    ]'],['1.0'],['1.0']
"['Where is the county seat of King County, Washington?']","['http://dbpedia.org/ontology/countySeat,']",[' [        "http://dbpedia.org/ontology/countySeat"    ]'],['1.0'],['1.0']
['What is the river whose mouth locations are Arctic Ocean and Laptev Sea?'],"['http://dbpedia.org/property/mouthLocation,http://dbpedia.org/property/mouthLocation,http://dbpedia.org/ontology/River,']",[],,
["Was Lucrezia Tornabuoni the mother of Lorenzo de' Medici?"],"['http://dbpedia.org/property/mother,']",[' [        "http://dbpedia.org/property/mother"    ]'],['1.0'],['1.0']
['What band had  Nick Jonas and Kevin Jonas as former members ?'],"['http://dbpedia.org/property/pastMembers,http://dbpedia.org/property/pastMembers,http://dbpedia.org/ontology/Band,']",[],,
['What is the combatant of the Northwest Indian War and also the ethnic group of the Linda Hogan '],"['http://dbpedia.org/property/combatant,http://dbpedia.org/property/ethnicity,']",[],,
['Give me the characters who last appeared in Star Wars Episode 3'],"['http://dbpedia.org/property/last,']",[],,
['List of people who were the first one to ascend a mountain in the Cathedral range?'],"['http://dbpedia.org/ontology/mountainRange,http://dbpedia.org/ontology/firstAscentPerson,http://dbpedia.org/ontology/Mountain,']",[' [        "http://dbpedia.org/ontology/mountainRange"    ]'],['1.0'],['1.0']
,,[],,
,,[],,
['How many movies did Stanley Kubrick direct?'],"['http://dbpedia.org/ontology/director,']",[' [        "http://dbpedia.org/ontology/director"    ]'],['1.0'],['1.0']
['Who is the President of the United World College of Costa Rica and United World Colleges ?'],"['http://dbpedia.org/property/president,http://dbpedia.org/property/president,']",[],,
['Which movie produced by Michael Deeley was distributed by Warner Bros ?'],"['http://dbpedia.org/property/distributor,http://dbpedia.org/property/producer,http://dbpedia.org/ontology/Film,']",[' [        "http://dbpedia.org/ontology/parentCompany"    ]'],['0.0'],['0.0']
['Who has had been the tenant of the stadium built by PCL construction firm?'],"['http://dbpedia.org/ontology/builder,http://dbpedia.org/ontology/tenant,http://dbpedia.org/ontology/Stadium,']","[' [        ""http://dbpedia.org/ontology/tenant"",         ""http://dbpedia.org/ontology/location""    ]']",['0.666666666667'],['1.0']
['For which team did Cam Plante and Doug Acomb both play atleast once?'],"['http://dbpedia.org/property/playedFor,http://dbpedia.org/property/playedFor,']",[],,
['What is the type of Vesak ?'],"['http://dbpedia.org/ontology/type,']",[' [        "http://dbpedia.org/ontology/type"    ]'],['1.0'],['1.0']
['Which military personnel belong to the branch of Continental Army?'],"['http://dbpedia.org/ontology/militaryBranch,']",[' [        "http://dbpedia.org/ontology/militaryBranch"    ]'],['1.0'],['1.0']
['What is the title of the successor of Kaulahea I ?'],"['http://dbpedia.org/property/successor,http://dbpedia.org/property/title,']",[' [        "http://dbpedia.org/ontology/title"    ]'],['0.5'],['1.0']
['List the notable works of the writer of The Tony Randall Show ?'],"['http://dbpedia.org/property/writer,http://dbpedia.org/ontology/notableWork,']",[],,
['What prizes have been awarded to the relatives of Linn Ullmann?'],"['http://dbpedia.org/property/relatives,http://dbpedia.org/property/awards,']",[],,
['Who is the scientist whose academic advisor was Karl Ewald Hasse?'],"['http://dbpedia.org/ontology/academicAdvisor,http://dbpedia.org/ontology/Scientist,']",[' [        "http://dbpedia.org/ontology/academicAdvisor"    ]'],['1.0'],['1.0']
['List the other nicknames of city which has one of the nickname as City of Angels ?'],"['http://dbpedia.org/property/nickname,http://dbpedia.org/property/nickname,']",[],,
['Count the awards received by the ones who fought the battle of france?'],"['http://dbpedia.org/ontology/battle,http://dbpedia.org/ontology/award,']",[' [        "http://dbpedia.org/ontology/battle"    ]'],['1.0'],['1.0']
['What is the baseball team whose club manager is Chip Hale?'],"['http://dbpedia.org/property/manager,http://dbpedia.org/ontology/BaseballTeam,']",[' [        "http://dbpedia.org/ontology/team"    ]'],['0.5'],['1.0']
['By what person of which political party is Balangir district led?'],"['http://dbpedia.org/ontology/leaderName,']",[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['0.0'],['0.0']
['What is the owner of Ivanpah Solar Power Facility and the original developer of Dart?'],"['http://dbpedia.org/ontology/owner,http://dbpedia.org/ontology/developer,']","[' [        ""http://dbpedia.org/ontology/owner"",         ""http://dbpedia.org/ontology/developer""    ]']",['1.0'],['1.0']
['Name the movie which has music composed by Elliot Goldenthal and screenplay by Akiva Goldsman ?'],"['http://dbpedia.org/property/music,http://dbpedia.org/property/screenplay,http://dbpedia.org/ontology/Film,']",[],,
['Which shows had their painters born in England?'],"['http://dbpedia.org/property/birthPlace,http://dbpedia.org/ontology/creator,http://dbpedia.org/ontology/TelevisionShow,']",[],,
['What is the former team of the american football players whose position is Running back?'],"['http://dbpedia.org/ontology/position,http://dbpedia.org/ontology/formerTeam,http://dbpedia.org/ontology/AmericanFootballPlayer,']",[' [        "http://dbpedia.org/ontology/occupation"    ]'],['0.0'],['0.0']
['Did Stan Lee create the Iceman comics?'],"['http://dbpedia.org/property/creators,']",[' [        "http://xmlns.com/foaf/0.1/givenName"    ]'],['0.0'],['0.0']
["What are the movies whose director's daughter is Luke Scott?"],"['http://dbpedia.org/ontology/child,http://dbpedia.org/property/director,http://dbpedia.org/ontology/Film,']",[' [        "http://dbpedia.org/ontology/director"    ]'],['0.5'],['1.0']
['Whihc party of the Mizoram Legislative Assembly is the government type of kumta ?'],"['http://dbpedia.org/ontology/governmentType,http://dbpedia.org/property/party,']","[' [        ""http://dbpedia.org/ontology/type"",         ""http://dbpedia.org/property/party""    ]']",['0.5'],['0.5']
['Who is the mfr. of the engine used in Ford Transit ?'],"['http://dbpedia.org/property/engine,http://dbpedia.org/ontology/manufacturer,http://dbpedia.org/ontology/Engine,']",[' [        "http://dbpedia.org/ontology/powerType"    ]'],['0.5'],['1.0']
['What is the birthplace of the Ferrel Harris which is also resting palce of  Green Wix Unthank?'],"['http://dbpedia.org/property/birthplace,http://dbpedia.org/ontology/restingPlace,']",[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['0.0'],['0.0']
['Under which president was timothy l. woodruff a lieutenant?'],"['http://dbpedia.org/property/lieutenant,']",[],,
['Ernest Rutherford was the advisor of how many people?'],"['http://dbpedia.org/property/doctoralAdvisor,']",[],,
['Which birthplace of Liliya Lobanova is also the location of the Snake Island ?'],"['http://dbpedia.org/property/birthplace,http://dbpedia.org/property/locationCountry,']",[],,
['What is the nationality of Aishath Saffa ?'],"['http://dbpedia.org/property/nationality,']",[],,
['What is the currency of Kerguelen Islands ?'],"['http://dbpedia.org/ontology/currency,']",[' [        "http://dbpedia.org/ontology/currency"    ]'],['1.0'],['1.0']
['In how many nations is Coconut a common food ingredient?'],"['http://dbpedia.org/ontology/ingredient,http://dbpedia.org/property/country,http://dbpedia.org/ontology/Country,']",[' [        "http://dbpedia.org/ontology/ingredient"    ]'],['1.0'],['1.0']
['How many games have been composed by Hirokazu Tanaka?'],"['http://dbpedia.org/property/composer,http://dbpedia.org/ontology/VideoGame,']",[],,
['Was Queen Latifah in the U.N.I.T.Y. group?'],"['http://dbpedia.org/ontology/musicalArtist,']",[' [        "http://dbpedia.org/ontology/associatedMusicalArtist"    ]'],['0.0'],['0.0']
['List the total number of regions of the building whose are located in\\Grand Forks Air Force Base?'],"['http://dbpedia.org/ontology/region,http://dbpedia.org/ontology/region,']","[' [        ""http://dbpedia.org/ontology/region"",         ""http://dbpedia.org/ontology/birthPlace""    ]']",['1.0'],['1.0']
"['Which office holder owes its allegiance to a state whose capital town is Jamestown, Virginia?']","['http://dbpedia.org/ontology/capital,http://dbpedia.org/property/allegiance,http://dbpedia.org/ontology/OfficeHolder,']",[' [        "http://dbpedia.org/ontology/capital"    ]'],['1.0'],['1.0']
['Count the different alma maters of people employed by the CNN'],"['http://dbpedia.org/property/employer,http://dbpedia.org/ontology/almaMater,']",[],,
['What is the common governing body of the Naval Air Facility Adak and Oahu Railway and Land Company?'],"['http://dbpedia.org/property/governingBody,http://dbpedia.org/property/governingBody,']",[],,
['Was the Funky Lab Rat released in North America?'],"['http://dbpedia.org/property/released,']",[],,
['Which nation is the origin of Dornier Aerodyne ?'],"['http://dbpedia.org/property/nationalOrigin,']",[],,
['Where is the rival school of Somerset Berkeley Regional High school?'],"['http://dbpedia.org/ontology/rival,http://dbpedia.org/ontology/region,http://dbpedia.org/ontology/School,']","[' [        ""http://dbpedia.org/ontology/rival"",         ""http://dbpedia.org/ontology/region""    ]']",['1.0'],['1.0']
"['What is the state of the settlement, which is the sub assembly of Mohamedia, Tunisia ?']","['http://dbpedia.org/ontology/isPartOf,http://dbpedia.org/ontology/country,']","[' [        ""http://dbpedia.org/ontology/country"",         ""http://dbpedia.org/ontology/region""    ]']",['0.5'],['0.5']
['Name the television show whose company is HBO and Playtone?'],"['http://dbpedia.org/ontology/company,http://dbpedia.org/property/company,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/ontology/company"    ]'],['1.0'],['1.0']
['What television show are distributed by Broadcast syndication?'],"['http://dbpedia.org/ontology/distributor,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/ontology/distributor"    ]'],['1.0'],['1.0']
['Who is the common parent of Gettv and hypnotize mind ?'],"['http://dbpedia.org/ontology/parentOrganisation,http://dbpedia.org/property/parent,']",[' [        "http://dbpedia.org/ontology/parentOrganisation"    ]'],['1.0'],['1.0']
,,[],,
,,[],,
['What is the birth city of trainer of Leallah?'],"['http://dbpedia.org/property/trainer,http://dbpedia.org/property/birthPlace,']",[],,
['Name the person with opponents Ike Clanton and Tom McLaury?'],"['http://dbpedia.org/ontology/opponent,http://dbpedia.org/ontology/opponent,http://dbpedia.org/ontology/Person,']","[' [        ""http://dbpedia.org/ontology/opponent"",         ""http://dbpedia.org/ontology/president""    ]']",['1.0'],['1.0']
['Which city was founded by  George Washington and John Forbes (British Army officer)?'],"['http://dbpedia.org/property/founder,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/City,']","[' [        ""http://dbpedia.org/ontology/foundedBy"",         ""http://dbpedia.org/ontology/country""    ]']",['0.0'],['0.0']
['List the country of Tokaj wine region ?'],"['http://dbpedia.org/property/country,']",[],,
['Who are the golf players whose college is Arizona State Sun Devils?'],"['http://dbpedia.org/ontology/college,http://dbpedia.org/ontology/GolfPlayer,']",[' [        "http://dbpedia.org/ontology/college"    ]'],['1.0'],['1.0']
['Which school did Robbie Diack attend?'],"['http://dbpedia.org/property/school,']",[],,
['Who is the film star of On Air with Ryan Seacrest ?'],"['http://dbpedia.org/ontology/starring,']",[' [        "http://dbpedia.org/ontology/college"    ]'],['0.5'],['1.0']
['Who is the builder of Atamurat-Kerkichi Bridge ?'],"['http://dbpedia.org/property/builder,']",[],,
['To which destinations does Air 2000 fly?'],"['http://dbpedia.org/property/destinations,']",[],,
['Did Stan Lee write the Daredevils?'],"['http://dbpedia.org/property/writers,']",[' [        "http://dbpedia.org/property/issues"    ]'],['0.0'],['0.0']
"['To what region is Sukhumbhand Paribatra, a leader?']","['http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/Region,']",[' [        "http://dbpedia.org/ontology/leader"    ]'],['0.0'],['0.0']
["Where was Picasso's Last Words recorded ?"],"['http://dbpedia.org/property/recorded,']",[],,
['What is the largest city of the birthplace of Pat Kirkwood?'],"['http://dbpedia.org/property/birthplace,http://dbpedia.org/ontology/largestCity,']",[],,
"['For how many movies have the music composer composed music, who have collaborated with Yes ?']","['http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,']","[' [        ""http://dbpedia.org/ontology/musicComposer"",         ""http://dbpedia.org/property/music""    ]']",['0.5'],['0.5']
['What is the largest city of Pulau Ubin ?'],"['http://dbpedia.org/ontology/largestCity,']",[' [        "http://dbpedia.org/ontology/largestCity"    ]'],['1.0'],['1.0']
['Which key perosn of the Elders is also the president of united World College ?'],"['http://dbpedia.org/property/keyPeople,http://dbpedia.org/ontology/president,']",[' [        "http://dbpedia.org/ontology/president"    ]'],['1.0'],['1.0']
['What is the total number of other nearest countries to the lakes whose nearest countries is Uganda?'],"['http://dbpedia.org/ontology/nearestCity,http://dbpedia.org/ontology/nearestCity,']",[' [        "http://dbpedia.org/ontology/nearestCity"    ]'],['1.0'],['1.0']
['Name the shows whose theme was composed by a band in which Jay Lane used to be?'],"['http://dbpedia.org/ontology/formerBandMember,http://dbpedia.org/property/themeMusicComposer,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/ontology/bandMember"    ]'],['0.0'],['0.0']
