ID,question,facts,results,precision,recall
164,['Who wrote the book The Pillars of the Earth?'],["['http://dbpedia.org/ontology/author']"],[' [        "http://dbpedia.org/ontology/author"    ]'],['1.0'],['1.0']
166,['How high is the Mount Everest?'],["['http://dbpedia.org/ontology/elevation']"],[],,
167,['Who was the doctoral supervisor of Albert Einstein?'],["['http://dbpedia.org/ontology/doctoralAdvisor']"],[' [        "http://dbpedia.org/property/date"    ]'],['0.0'],['0.0']
168,['In which city does Sylvester Stallone live?'],["['http://dbpedia.org/ontology/residence']"],[' [        "http://dbpedia.org/ontology/city"    ]'],['0.0'],['0.0']
169,['What is the currency of the Czech Republic?'],["['http://dbpedia.org/ontology/currency']"],[' [        "http://dbpedia.org/ontology/currency"    ]'],['1.0'],['1.0']
170,['Did Socrates influence Aristotle?'],["['http://dbpedia.org/ontology/influencedBy']"],[' [        "http://dbpedia.org/ontology/mastersWins"    ]'],['0.5'],['1.0']
171,['What is the time zone of Salt Lake City?'],["['http://dbpedia.org/property/timezone']"],[],,
172,['Who is the son of Sonny and Cher?'],"[""['http://dbpedia.org/ontology/parent', 'http://dbpedia.org/ontology/parent']""]","[' [        ""http://dbpedia.org/ontology/juniorSeason"",         ""http://dbpedia.org/property/wordnet_type""    ]']",['0.0'],['0.0']
173,['In which city are the headquarters of the United Nations?'],["['http://dbpedia.org/ontology/location']"],[' [        "http://dbpedia.org/ontology/city"    ]'],['0.0'],['0.0']
174,['Who is the founder of Penguin Books?'],["['http://dbpedia.org/ontology/founder']"],[' [        "http://dbpedia.org/ontology/founder"    ]'],['1.0'],['1.0']
175,['When was Jack Wolfskin founded?'],["['http://dbpedia.org/ontology/foundingYear']"],[' [        "http://dbpedia.org/ontology/foundingYear"    ]'],['1.0'],['1.0']
176,['Who is the mayor of Rotterdam?'],["['http://dbpedia.org/ontology/leaderName']"],[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['0.0'],['0.0']
178,["Show me Hemingway's autobiography."],"[""['http://dbpedia.org/ontology/author', 'http://dbpedia.org/ontology/literaryGenre']""]","[' [        ""http://dbpedia.org/property/staffWriter"",         ""http://dbpedia.org/property/sign""    ]']",['0.0'],['0.0']
179,['Who are the parents of the wife of Juan Carlos I?'],"[""['http://dbpedia.org/ontology/spouse', 'http://dbpedia.org/ontology/parent']""]","[' [        ""http://dbpedia.org/ontology/parent"",         ""http://dbpedia.org/ontology/spouse""    ]']",['1.0'],['1.0']
180,['Did Tesla win a nobel prize in physics?'],["['http://dbpedia.org/ontology/award']"],[' [        "http://dbpedia.org/property/inventor"    ]'],['0.0'],['0.0']
181,['Who is the tallest basketball player?'],"[""['http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://dbpedia.org/ontology/height']""]",[],,
182,['Which city has the least inhabitants?'],"[""['http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://dbpedia.org/ontology/populationTotal']""]",[],,
183,['Is proinsulin a protein?'],["['http://www.w3.org/1999/02/22-rdf-syntax-ns#type']"],[],,
184,['Who were the parents of Queen Victoria?'],["['http://dbpedia.org/ontology/parent']"],[' [        "http://dbpedia.org/ontology/parent"    ]'],['1.0'],['1.0']
185,['Did Che Guevara have children?'],["['http://dbpedia.org/ontology/child']"],[' [        "http://dbpedia.org/ontology/child"    ]'],['1.0'],['1.0']
186,['Is Lake Baikal bigger than the Great Bear Lake?'],[],[],,
188,['Give me all books by William Goldman with more than 300 pages.'],[],[],,
189,['Where is Fort Knox located?'],["['http://dbpedia.org/property/location']"],[],,
190,['In which U.S. state is Fort Knox located?'],"[""['http://dbpedia.org/property/location', 'http://dbpedia.org/ontology/country']""]",[' [        "http://dbpedia.org/property/siteCityst"    ]'],['0.0'],['0.0']
191,['Where is Syngman Rhee buried?'],["['http://dbpedia.org/ontology/restingPlace']"],[' [        "http://dbpedia.org/ontology/spouse"    ]'],['0.0'],['0.0']
192,['What is the timezone in San Pedro de Atacama?'],["['http://dbpedia.org/ontology/timeZone']"],[' [        "http://dbpedia.org/ontology/timeZone"    ]'],['1.0'],['1.0']
193,['To which artistic movement did the painter of The Three Dancers belong?'],"[""['http://dbpedia.org/ontology/author', 'http://dbpedia.org/ontology/movement']""]",[' [        "http://dbpedia.org/property/city"    ]'],['0.0'],['0.0']
194,['Which scientist is known for the Manhattan Project and the Nobel Peace Prize?'],"[""['http://dbpedia.org/ontology/knownFor', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://dbpedia.org/ontology/knownFor']""]","[' [        ""http://dbpedia.org/ontology/knownFor"",         ""http://dbpedia.org/ontology/notableCommander""    ]']",['1.0'],['1.0']
195,["Show me all books in Asimov's Foundation series."],["['http://dbpedia.org/ontology/series']"],[' [        "http://dbpedia.org/property/books"    ]'],['0.0'],['0.0']
196,['Give me all cities in New Jersey with more than 100000 inhabitants.'],[],[],,
197,['Which museum in New York has the most visitors?'],"[""['http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://dbpedia.org/ontology/location', 'http://dbpedia.org/ontology/numberOfVisitors']""]",[],,
198,['How high is the Yokohama Marine Tower?'],["['http://dbpedia.org/ontology/height']"],[' [        "http://dbpedia.org/ontology/highestPoint"    ]'],['0.0'],['0.0']
199,['Does the new Battlestar Galactica series have more episodes than the old one?'],[],[],,
200,['Who is the youngest Darts player?'],"[""['http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://dbpedia.org/ontology/birthDate']""]",[],,
201,['Who developed the video game World of Warcraft?'],["['http://dbpedia.org/ontology/developer']"],[' [        "http://dbpedia.org/property/collapsed"    ]'],['0.0'],['0.0']
202,['Who was the pope that founded the Vatican Television?'],"[""['http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://dbpedia.org/ontology/foundedBy']""]",[' [        "http://dbpedia.org/ontology/leader"    ]'],['0.0'],['0.0']
203,['Who composed the music for Harold and Maude?'],["['http://dbpedia.org/ontology/musicComposer']"],[' [        "http://dbpedia.org/ontology/musicComposer"    ]'],['1.0'],['1.0']
204,['Give me all members of Prodigy.'],["['http://dbpedia.org/ontology/bandMember']"],[' [        "http://dbpedia.org/ontology/bandMember"    ]'],['1.0'],['1.0']
205,['Who is starring in Spanish movies produced by Benicio del Toro?'],"[""['http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://dbpedia.org/ontology/country', 'http://dbpedia.org/ontology/producer', 'http://dbpedia.org/ontology/starring', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#type']""]","[' [        ""http://dbpedia.org/ontology/starring"",         ""http://dbpedia.org/ontology/academicDiscipline"",         ""http://dbpedia.org/property/drivesOn""    ]']",['0.333333333333'],['0.333333333333']
206,['Which subsidiary of TUI Travel serves both Glasgow and Dublin?'],"[""['http://dbpedia.org/ontology/subsidiary', 'http://dbpedia.org/ontology/targetAirport', 'http://dbpedia.org/ontology/targetAirport']""]","[' [        ""http://dbpedia.org/ontology/subsidiary"",         ""http://dbpedia.org/ontology/locationCity"",         ""http://dbpedia.org/ontology/alliance""    ]']",['0.333333333333'],['0.333333333333']
207,['In which country is Mecca located?'],["['http://dbpedia.org/ontology/country']"],[' [        "http://dbpedia.org/ontology/country"    ]'],['1.0'],['1.0']
208,['How many languages are spoken in Colombia?'],"[""['http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://dbpedia.org/ontology/language']""]",[' [        "http://dbpedia.org/property/state"    ]'],['0.5'],['1.0']
209,['What is the biggest stadium in Spain?'],"[""['http://dbpedia.org/ontology/location', 'http://dbpedia.org/ontology/seatingCapacity']""]",[' [        "http://dbpedia.org/property/stadium"    ]'],['0.0'],['0.0']
210,['Which professional surfers were born on the Philippines?'],"[""['http://dbpedia.org/ontology/occupation', 'http://dbpedia.org/ontology/birthPlace']""]","[' [        ""http://dbpedia.org/ontology/birthPlace"",         ""http://dbpedia.org/property/birthPlace""    ]']",['0.5'],['0.5']
211,['What are the five boroughs of New York?'],["['http://dbpedia.org/ontology/governmentType']"],[' [        "http://dbpedia.org/property/countryAdminDivisionsTitle"    ]'],['0.0'],['0.0']
212,['Is Cola a beverage?'],["['http://www.w3.org/1999/02/22-rdf-syntax-ns#type']"],[],,
213,['When did princess Diana die?'],["['http://dbpedia.org/ontology/deathDate']"],[' [        "http://dbpedia.org/ontology/deathPlace"    ]'],['0.0'],['0.0']
214,['Where in France is sparkling wine produced?'],"[""['http://dbpedia.org/ontology/wineProduced', 'http://dbpedia.org/ontology/location']""]",[' [        "http://dbpedia.org/ontology/wineProduced"    ]'],['1.0'],['1.0']
