,question,facts,results,precesion,recall
286,['Which leader of united states house representatives election was married to Dolley Madison ?'],"['http://dbpedia.org/property/leader,http://dbpedia.org/ontology/spouse,']",[' [        "http://dbpedia.org/ontology/leader"    ]'],['0.5'],['1.0']
287,['Name the TV shows owned by divisions of CBS?'],"['http://dbpedia.org/property/parent,http://dbpedia.org/property/company,http://dbpedia.org/ontology/TelevisionShow,']",[],,
288,"[""Who was the president under whom, a governor participated in Shay's rebellion?""]","['http://dbpedia.org/ontology/battle,http://dbpedia.org/property/president,http://dbpedia.org/ontology/Governor,']",[' [        "http://dbpedia.org/ontology/battle"    ]'],['1.0'],['1.0']
289,['What program is  presented by Brian Dunkleman and has artist as Simon Fuller?'],"['http://dbpedia.org/property/presenter,http://dbpedia.org/property/creator,http://dbpedia.org/ontology/TelevisionShow,']",[],,
290,['Is the charat district a district in peru?'],"['http://dbpedia.org/property/settlementType,']",[' [        "http://dbpedia.org/ontology/country"    ]'],['0.0'],['0.0']
291,['How many different people own the Timeform award winners?'],"['http://dbpedia.org/property/awards,http://dbpedia.org/ontology/owner,http://dbpedia.org/ontology/Person,']",[' [        "http://dbpedia.org/ontology/award"    ]'],['0.0'],['0.0']
292,['List presidents of the school whose one of the president is Charles. Prince of Wales ?'],"['http://dbpedia.org/ontology/president,http://dbpedia.org/property/president,http://dbpedia.org/ontology/School,']",[' [        "http://dbpedia.org/ontology/president"    ]'],['1.0'],['1.0']
293,['Which political party of Chandra Shekhar is also the political party of Datl Satyanarayana Raju ?'],"['http://dbpedia.org/ontology/otherParty,http://dbpedia.org/ontology/party,']","[' [        ""http://dbpedia.org/ontology/party"",         ""http://dbpedia.org/ontology/successor""    ]']",['0.5'],['0.5']
294,['How many people have been presenters for NBC shows?'],"['http://dbpedia.org/ontology/channel,http://dbpedia.org/property/presenter,http://dbpedia.org/ontology/Person,']",[' [        "http://dbpedia.org/ontology/presenter"    ]'],['0.0'],['0.0']
295,['What river originates in Kingston Ontario?'],"['http://dbpedia.org/property/sourceLocation,http://dbpedia.org/ontology/River,']",[],,
296,['How many producers have worked for FremantleMedia productions?'],"['http://dbpedia.org/property/company,http://dbpedia.org/ontology/producer,']",[' [        "http://dbpedia.org/ontology/producer"    ]'],['1.0'],['1.0']
297,['Where is Hafthor Julius Bjornsson from?'],"['http://dbpedia.org/ontology/stateOfOrigin,']",[],,
298,['How many islands belong to archipelagos located in the pacific?'],"['http://dbpedia.org/property/location,http://dbpedia.org/property/archipelago,http://dbpedia.org/ontology/Island,']",[' [        "http://dbpedia.org/ontology/location"    ]'],['0.5'],['1.0']
299,['How many other important things have been written by the creator of Stuart Alan Jones?'],"['http://dbpedia.org/ontology/creator,http://dbpedia.org/ontology/notableWork,']",[' [        "http://dbpedia.org/ontology/creator"    ]'],['1.0'],['1.0']
300,['What shows used to air on the channel which was earlier known as "The Comedy Central"?'],"['http://dbpedia.org/ontology/predecessor,http://dbpedia.org/property/distributor,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/ontology/channel"    ]'],['0.0'],['0.0']
301,['Does Kirk Hammett play the Gibson Flying V?'],"['http://dbpedia.org/ontology/instrument,']",[' [        "http://dbpedia.org/property/instrument"    ]'],['0.5'],['1.0']
302,"['For all the senators who once studied in Sturm College of Law, give their burial place?']","['http://dbpedia.org/ontology/almaMater,http://dbpedia.org/property/restingplace,http://dbpedia.org/ontology/Senator,']",[' [        "http://dbpedia.org/ontology/employer"    ]'],['0.0'],['0.0']
303,["Which people are known for appearing on the television show Dragon's Den?"],"['http://dbpedia.org/ontology/knownFor,http://dbpedia.org/ontology/Person,']",[' [        "http://dbpedia.org/property/country"    ]'],['0.5'],['1.0']
304,['How many railway lines go through the station maintained by Public transport authority of western australia?'],"['http://dbpedia.org/ontology/owningOrganisation,http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/ontology/RailwayLine,']",[' [        "http://dbpedia.org/property/parent"    ]'],['0.0'],['0.0']
305,['What  awards did the cast members of Gods of Egypt win?'],"['http://dbpedia.org/ontology/starring,http://dbpedia.org/property/awards,']",[' [        "http://dbpedia.org/ontology/starring"    ]'],['1.0'],['1.0']
306,['Carl Sagan has penned books on how many matters?'],"['http://dbpedia.org/ontology/author,http://dbpedia.org/property/subject,']",[' [        "http://purl.org/dc/terms/subject"    ]'],['0.0'],['0.0']
307,['what are some units udner the US department of navy?'],"['http://dbpedia.org/ontology/commandStructure,']",[' [        "http://dbpedia.org/ontology/leader"    ]'],['0.0'],['0.0']
308,"['What sport has made Eric Schiller famous, and has employed Craig Van Tibury?']","['http://dbpedia.org/ontology/occupation,http://dbpedia.org/ontology/knownFor,']","[' [        ""http://xmlns.com/foaf/0.1/givenName"",         ""http://dbpedia.org/ontology/roleInEvent""    ]']",['0.333333333333'],['0.5']
309,['Which part of the US political framework did Arthur Bagby and Thomas H hicks both serve?'],"['http://dbpedia.org/property/order,http://dbpedia.org/property/order,']",[],,
310,['Who gave the voice to the characters sculpted by Clamp?'],"['http://dbpedia.org/property/creator,http://dbpedia.org/ontology/voice,http://dbpedia.org/ontology/FictionalCharacter,']",[],,
311,"['What is the country whose administrative centre is Hagta, Guam?']","['http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,']",[],,
312,['What is the political party of the of Bengalis ?'],"['http://dbpedia.org/ontology/ethnicity,http://dbpedia.org/ontology/party,']",[' [        "http://dbpedia.org/ontology/composer"    ]'],['0.0'],['0.0']
313,['How many different kinds of games are published by Interplay Entertainment?'],"['http://dbpedia.org/ontology/publisher,http://dbpedia.org/property/genre,']",[' [        "http://dbpedia.org/ontology/successor"    ]'],['0.5'],['1.0']
314,['How many different kinds of softwares have been released under the GPL license?'],"['http://dbpedia.org/property/license,http://dbpedia.org/ontology/genre,']",[' [        "http://dbpedia.org/ontology/license"    ]'],['0.5'],['1.0']
315,['List the schools of the athlete with Balgowan as one of the school ?'],"['http://dbpedia.org/property/school,http://dbpedia.org/property/school,http://dbpedia.org/ontology/Athlete,']",[],,
316,["Which coach of Marquette Golden Eagles men's basketball team is also the head coach  of Virginia Tech Hokies men's basketball team ?"],"['http://dbpedia.org/property/headcoach,http://dbpedia.org/ontology/coach,']",[],,
317,['Where do the judge advocate general corps live?'],"['http://dbpedia.org/property/rank,http://dbpedia.org/property/residence,']",[' [        "http://dbpedia.org/ontology/subsidiary"    ]'],['1.0'],['1.0']
318,['On which river are there things belonging to zambezi river authority?'],"['http://dbpedia.org/property/owner,http://dbpedia.org/ontology/river,']",[],,
319,['Does vance johnson play as a wide receiver?'],"['http://dbpedia.org/ontology/position,']",[' [        "http://dbpedia.org/ontology/team"    ]'],['0.0'],['0.0']
320,['How many different products are there of the companies located in the US?'],"['http://dbpedia.org/ontology/location,http://dbpedia.org/ontology/product,']",[],,
321,['Which are the countires where Pioneer Corporation has flourished?'],"['http://dbpedia.org/property/country,']",[],,
322,['Which city do both Arthur Ross and Edward Niesen come from?'],"['http://dbpedia.org/property/placeOfBirth,http://dbpedia.org/ontology/birthPlace,']",[' [        "http://dbpedia.org/ontology/nationality"    ]'],['0.0'],['0.0']
323,['Who wrote Heroman?'],"['http://dbpedia.org/property/author,']",[],,
324,['Was Zambezi originate in the north western province of zambia?'],"['http://dbpedia.org/property/sourceRegion,']",[],,
325,"['What all is produced by companies in Douglas, Isle of Man?']","['http://dbpedia.org/ontology/locationCity,http://dbpedia.org/ontology/product,http://dbpedia.org/ontology/Company,']",[' [        "http://dbpedia.org/property/residence"    ]'],['0.0'],['0.0']
326,["Whose work is in the Musee d'orsay?"],"['http://dbpedia.org/property/museum,http://dbpedia.org/property/artist,http://dbpedia.org/ontology/Artwork,']",[],,
327,['Who built the stadium which was rented for the 2013 Copa Centroamericana ?'],"['http://dbpedia.org/ontology/tenant,http://dbpedia.org/ontology/builder,http://dbpedia.org/ontology/Stadium,']",[],,
328,['How many fictional characters are there in a series in which Craig Robinson acted?'],"['http://dbpedia.org/ontology/starring,http://dbpedia.org/ontology/series,http://dbpedia.org/ontology/FictionalCharacter,']",[' [        "http://dbpedia.org/ontology/portrayer"    ]'],['0.0'],['0.0']
329,['in which country does the river end which originates in Lebrsnik?'],"['http://dbpedia.org/ontology/sourcePlace,http://dbpedia.org/ontology/mouthCountry,']",[],,
330,"['What is that something which made Breann McGregor famous, and Frank Thorne received as an award?']","['http://dbpedia.org/ontology/award,http://dbpedia.org/property/knownFor,']",[' [        "http://dbpedia.org/ontology/award"    ]'],['1.0'],['1.0']
331,['what are the nicknames of the people who are in Ekstraliga?'],"['http://dbpedia.org/property/league,http://dbpedia.org/property/nickname,']",[],,
332,['Who is a famous relative of Aaround Van Heemstra?'],"['http://dbpedia.org/ontology/relative,http://dbpedia.org/ontology/Person,']",[' [        "http://dbpedia.org/ontology/relative"    ]'],['1.0'],['1.0']
333,"['List the television shows whose distributors are located at Burbank, California.']","['http://dbpedia.org/property/locationCity,http://dbpedia.org/property/distributor,http://dbpedia.org/ontology/TelevisionShow,']",[],,
334,['What is the birth city of the Salford City F.C players ?'],"['http://dbpedia.org/ontology/team,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/SoccerPlayer,']",[' [        "http://dbpedia.org/ontology/state"    ]'],['1.0'],['1.0']
335,"['To what other locations does the airlines have flights, who also fly to Birmingham?']","['http://dbpedia.org/ontology/targetAirport,http://dbpedia.org/property/destinations,http://dbpedia.org/ontology/Airline,']",[' [        "http://dbpedia.org/ontology/headquarter"    ]'],['0.0'],['0.0']
336,['Which are the predecessors of the cars which are similar to the Oldsmobile 88?'],"['http://dbpedia.org/property/related,http://dbpedia.org/ontology/predecessor,']",[' [        "http://dbpedia.org/ontology/predecessor"    ]'],['1.0'],['1.0']
337,['How many people are there whose children died in Indiana?'],"['http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/ontology/child,http://dbpedia.org/ontology/Person,']",[' [        "http://dbpedia.org/property/residence"    ]'],['0.0'],['0.0']
338,["Which mountain range is the one with Ponte d'Aveneyre and Le Gibloux?"],"['http://dbpedia.org/ontology/mountainRange,http://dbpedia.org/ontology/mountainRange,']","[' [        ""http://dbpedia.org/ontology/mountainRange"",         ""http://dbpedia.org/ontology/region""    ]']",['1.0'],['1.0']
339,['What are some movies whose distributors are led by Kevin Tsujihara?'],"['http://dbpedia.org/ontology/keyPerson,http://dbpedia.org/property/distributor,http://dbpedia.org/ontology/Film,']",[' [        "http://dbpedia.org/property/spouse"    ]'],['0.0'],['0.0']
340,["Who are the relatives of the character after which Quagmire's Quagmire was made?"],"['http://dbpedia.org/ontology/subsequentWork,http://dbpedia.org/ontology/relative,']",[' [        "http://dbpedia.org/ontology/director"    ]'],['0.0'],['0.0']
341,['Who all play for the teams performing in the united center?'],"['http://dbpedia.org/property/arena,http://dbpedia.org/property/team,']",[' [        "http://dbpedia.org/ontology/residence"    ]'],['0.0'],['0.0']
342,['Where is the gold coast football club located?'],"['http://dbpedia.org/property/location,']",[],,
343,"['Which award that has been given to James F Obrien, had used Laemmle Theatres for some service?']","['http://dbpedia.org/ontology/service,http://dbpedia.org/ontology/award,']","[' [        ""http://dbpedia.org/ontology/award"",         ""http://dbpedia.org/ontology/service""    ]']",['1.0'],['1.0']
344,['Where are the Dinamo Krasnodar players born?'],"['http://dbpedia.org/ontology/club,http://dbpedia.org/property/placeOfBirth,http://dbpedia.org/ontology/Athlete,']",[' [        "http://dbpedia.org/property/team"    ]'],['0.0'],['0.0']
345,['Name the people whose academic advisor has also mentored the thesis of Alexius Meinong?'],"['http://dbpedia.org/property/doctoralStudents,http://dbpedia.org/ontology/academicAdvisor,http://dbpedia.org/ontology/Person,']",[],,
346,"['Who is the founder of Wuropean School, Karlsruhe ?']","['http://dbpedia.org/property/founder,']",[],,
347,['Does the croton river flow into the hudson?'],"['http://dbpedia.org/ontology/leftTributary,']",[' [        "http://dbpedia.org/ontology/Stream/minimumDischarge"    ]'],['0.0'],['0.0']
348,['Which fields of the Paul Demiville is also the faith of Koay Teng Hai ?'],"['http://dbpedia.org/property/fields,http://dbpedia.org/ontology/religion,']",[' [        "http://dbpedia.org/ontology/religion"    ]'],['1.0'],['1.0']
349,['Which leader of United States House of Representatives was the appinter of ohn Drayton ?'],"['http://dbpedia.org/property/leader,http://dbpedia.org/property/appointer,']",[],,
350,['How many local authorities manage mixed gender schools?'],"['http://dbpedia.org/ontology/gender,http://dbpedia.org/ontology/localAuthority,']",[' [        "http://dbpedia.org/ontology/gender"    ]'],['1.0'],['1.0']
351,['What are some apes?'],"['http://dbpedia.org/ontology/family,']",[' [        "http://purl.org/dc/terms/subject"    ]'],['0.0'],['0.0']
352,['How many Thesaban towns are there?'],"['http://dbpedia.org/property/settlementType,http://dbpedia.org/ontology/Town,']",[],,
353,['Did Oliver Sacks study at the Columbia University?'],"['http://dbpedia.org/ontology/institution,']",[' [        "http://dbpedia.org/property/education"    ]'],['0.0'],['0.0']
354,['How many other genere are there of the radio stations whose one of the genre  is Classic rock ?'],"['http://dbpedia.org/ontology/programmeFormat,http://dbpedia.org/ontology/programmeFormat,']","[' [        ""http://dbpedia.org/ontology/genre"",         ""http://dbpedia.org/property/genre""    ]']",['0.0'],['0.0']
355,['Who was the narrator in the point?'],"['http://dbpedia.org/property/narrated,']",[],,
356,["Which basketball team's president studied in the Brockport Golden Eagles?"],"['http://dbpedia.org/ontology/college,http://dbpedia.org/property/president,http://dbpedia.org/ontology/BasketballTeam,']",[' [        "http://dbpedia.org/ontology/team"    ]'],['0.0'],['0.0']
357,['How many scientist became famous for the battle of Occupation of Japan?'],"['http://dbpedia.org/ontology/battle,http://dbpedia.org/property/knownFor,http://dbpedia.org/ontology/Scientist,']",[' [        "http://dbpedia.org/ontology/battle"    ]'],['1.0'],['1.0']
358,['Which owner of the national Herald india is the leader of Kumta ?'],"['http://dbpedia.org/ontology/owner,http://dbpedia.org/property/governmentType,']",[' [        "http://dbpedia.org/ontology/owner"    ]'],['1.0'],['1.0']
359,['In how many countries does the Zurich Affoltern am Albis Zug line go?'],"['http://dbpedia.org/property/line,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Country,']",[],,
360,['Give me the count of all people who ascented a peak in California?'],"['http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/ontology/firstAscentPerson,http://dbpedia.org/ontology/Person,']",[' [        "http://dbpedia.org/ontology/country"    ]'],['0.0'],['0.0']
361,['What people are known to work for Johnny Cash?'],"['http://dbpedia.org/property/associatedActs,http://dbpedia.org/ontology/Person,']",[' [        "http://dbpedia.org/property/spouse"    ]'],['0.0'],['0.0']
362,['What rivers originate from Australian Alps?'],"['http://dbpedia.org/ontology/sourcePlace,http://dbpedia.org/ontology/River,']",[' [        "http://dbpedia.org/ontology/country"    ]'],['0.0'],['0.0']
363,["What's the religion of the winner of china election of 2008?"],"['http://dbpedia.org/property/leader,http://dbpedia.org/ontology/religion,']",[],,
364,['What is the constituency of the people who died in Lampedusa?'],"['http://dbpedia.org/property/deathPlace,http://dbpedia.org/property/constituency,http://dbpedia.org/ontology/Person,']",[],,
365,['Where else did the graduates of the university of west indies study?'],"['http://dbpedia.org/ontology/institution,http://dbpedia.org/property/almaMater,']","[' [        ""http://dbpedia.org/ontology/education"",         ""http://dbpedia.org/ontology/university""    ]']",['0.0'],['0.0']
366,['Which statesman is married to Dolley Madison?'],"['http://dbpedia.org/property/spouse,http://dbpedia.org/ontology/OfficeHolder,']",[],,
367,['How many groups have fought in wars where Richard Taylor fought too?'],"['http://dbpedia.org/property/battles,http://dbpedia.org/property/combatant,http://dbpedia.org/ontology/MilitaryConflict,']",[],,
368,['Who directed the haunted house and alice in wonderland?'],"['http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/director,']","[' [        ""http://dbpedia.org/ontology/director"",         ""http://dbpedia.org/ontology/producer""    ]']",['1.0'],['1.0']
369,['Count the sports played at universities located in Urban Areas?'],"['http://dbpedia.org/ontology/campus,http://dbpedia.org/ontology/sport,']",[' [        "http://dbpedia.org/property/location"    ]'],['0.0'],['0.0']
370,['Where the club of Kiki Cutter located?'],"['http://dbpedia.org/property/club,http://dbpedia.org/ontology/location,']",[],,
371,['Who penned Emma and Jane Austen in Manhatten?'],"['http://dbpedia.org/ontology/writer,http://dbpedia.org/property/author,']",[' [        "http://dbpedia.org/property/wordnet_type"    ]'],['0.0'],['0.0']
372,['Which wars were fought by the commander whose deputy was Robert T. Herres?'],"['http://dbpedia.org/ontology/deputy,http://dbpedia.org/ontology/commander,http://dbpedia.org/ontology/MilitaryConflict,']",[' [        "http://dbpedia.org/ontology/deputy"    ]'],['1.0'],['1.0']
373,['Is the Bucyrus MT6300AC assembled in north america?'],"['http://dbpedia.org/property/assembly,']",[],,
374,['What are all the religions in which Jacob and Abraham are important?'],"['http://dbpedia.org/property/veneratedIn,http://dbpedia.org/property/veneratedIn,']",[],,
375,['Who develops the computation platform of Microsoft Expression Encoder ?'],"['http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/ontology/developer,']","[' [        ""http://dbpedia.org/ontology/computingPlatform"",         ""http://dbpedia.org/property/discontinued""    ]']",['0.5'],['0.5']
376,['In which country is the Chapelle Saint-Louis de Carthage located ?'],"['http://dbpedia.org/ontology/location,http://dbpedia.org/ontology/country,']","[' [        ""http://dbpedia.org/ontology/country"",         ""http://dbpedia.org/ontology/location""    ]']",['1.0'],['1.0']
377,['In how many places can I find tombs of people who fought in the Norwalk Trainband?'],"['http://dbpedia.org/ontology/militaryUnit,http://dbpedia.org/property/restingplace,']",[' [        "http://dbpedia.org/ontology/militaryUnit"    ]'],['1.0'],['1.0']
378,['Which nationality of Newin Chidchob is also the nationality of Ajahn Sao Kantaslo ?'],"['http://dbpedia.org/property/nationality,http://dbpedia.org/ontology/nationality,']",[' [        "http://dbpedia.org/ontology/nationality"    ]'],['1.0'],['1.0']
379,["Which movies' composers have won a BAFTA for film music?"],"['http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,']",[' [        "http://dbpedia.org/ontology/award"    ]'],['1.0'],['1.0']
380,['Is Microsoft office written in C++'],"['http://dbpedia.org/property/programmingLanguage,']",[],,
381,['Was the altazor drawn by Picasso?'],"['http://dbpedia.org/property/illustrator,']",[],,
382,['How many people used to play for Toronto Argonauts?'],"['http://dbpedia.org/ontology/formerTeam,']",[' [        "http://dbpedia.org/ontology/team"    ]'],['0.0'],['0.0']
383,['In how many languages did Marika Gombitova sing?'],"['http://dbpedia.org/property/artist,http://dbpedia.org/property/language,']",[],,
384,['What is the official residence of the Christopher Daz Figuero which is also the  state of the Cruce a Nado Internacional'],"['http://dbpedia.org/property/residence,http://dbpedia.org/ontology/country,']",[' [        "http://dbpedia.org/ontology/country"    ]'],['1.0'],['1.0']
385,['What are the track and field events of Jamiatu Muslim Mindanao?'],"['http://dbpedia.org/property/athletics,']",[],,
386,['Which athlete was the flag bearer for Switzerland in 2004 and 2008 summer Olympics ?'],"['http://dbpedia.org/property/flagbearer,http://dbpedia.org/property/flagbearer,']",[],,
387,['List some pupils of National Science Medal winning scientists?'],"['http://dbpedia.org/property/prizes,http://dbpedia.org/property/doctoralStudents,http://dbpedia.org/ontology/Scientist,']",[' [        "http://purl.org/dc/terms/subject"    ]'],['0.0'],['0.0']
388,['Name the TV show which has judge as harry Connick and is broadcasted on Fox Broadcasting Company ?'],"['http://dbpedia.org/ontology/channel,http://dbpedia.org/property/judges,http://dbpedia.org/ontology/TelevisionShow,']","[' [        ""http://dbpedia.org/ontology/developer"",         ""http://dbpedia.org/property/network""    ]']",['0.0'],['0.0']
389,"['What company brought Riddim Ribbon to the market, and developed the batch monitor?']","['http://dbpedia.org/property/developer,http://dbpedia.org/property/distributor,']",[],,
390,['Who is the builder of Estadio Nacional de Costa Rica and also location of Xianren Cave ?'],"['http://dbpedia.org/ontology/builder,http://dbpedia.org/ontology/country,']",[' [        "http://dbpedia.org/ontology/location"    ]'],['0.5'],['1.0']
391,['Erik Jendresen is writer and Play tone is company of which TV show ?'],"['http://dbpedia.org/property/writer,http://dbpedia.org/property/company,http://dbpedia.org/ontology/TelevisionShow,']",[],,
392,['Where is the residence of the governor of Bangkok ?'],"['http://dbpedia.org/ontology/leaderName,http://dbpedia.org/property/residence,']","[' [        ""http://dbpedia.org/ontology/residence"",         ""http://dbpedia.org/property/residence""    ]']",['0.5'],['0.5']
393,['who all play for of the american football players at  Quarterback position?'],"['http://dbpedia.org/property/position,http://dbpedia.org/ontology/team,http://dbpedia.org/ontology/AmericanFootballPlayer,']",[' [        "http://dbpedia.org/ontology/position"    ]'],['0.5'],['1.0']
394,['Where is Emmett Hughes from?'],"['http://dbpedia.org/ontology/nationality,']",[' [        "http://dbpedia.org/ontology/thumbnail"    ]'],['0.0'],['0.0']
395,"['In which sects was the aristocrat venerated, whose parent is Thelred the Unready?']","['http://dbpedia.org/ontology/parent,http://dbpedia.org/property/veneratedIn,http://dbpedia.org/ontology/Royalty,']",[],,
396,['What is the appliance build jointly by Sony and Asus?'],"['http://dbpedia.org/ontology/manufacturer,http://dbpedia.org/ontology/manufacturer,http://dbpedia.org/ontology/InformationAppliance,']","[' [        ""http://dbpedia.org/property/wordnet_type"",         ""http://dbpedia.org/ontology/operatingSystem""    ]']",['0.0'],['0.0']
397,['What games are played at institutions affiliated with the international association of universities?'],"['http://dbpedia.org/property/affiliations,http://dbpedia.org/ontology/sport,http://dbpedia.org/ontology/EducationalInstitution,']",[],,
398,['Whose units are responsible for close air support?'],"['http://dbpedia.org/property/role,http://dbpedia.org/ontology/militaryUnit,']",[],,
399,['Which work of Craig van Tilbury is close to the area of The Chess Monthyl ?'],"['http://dbpedia.org/property/discipline,http://dbpedia.org/ontology/occupation,']",[' [        "http://dbpedia.org/ontology/country"    ]'],['0.5'],['1.0']
400,[' Count the participants of the NBA.'],"['http://dbpedia.org/ontology/league,']",[' [        "http://dbpedia.org/ontology/participant"    ]'],['0.0'],['0.0']
401,['How many politicians are in the US Senate?'],"['http://dbpedia.org/property/order,http://dbpedia.org/ontology/OfficeHolder,']",[],,
402,['How many players participated in the 2004-05 FC Barcelona season?'],"['http://dbpedia.org/property/name,http://dbpedia.org/ontology/SoccerPlayer,']",[],,
403,['Count everyone who studied at an institute which are in Suburbs?'],"['http://dbpedia.org/ontology/campus,http://dbpedia.org/property/education,']",[' [        "http://dbpedia.org/ontology/plant"    ]'],['0.0'],['0.0']
404,['Which source of broad creek is the Audenried tunnel located ?'],"['http://dbpedia.org/ontology/source,http://dbpedia.org/ontology/location,']","[' [        ""http://dbpedia.org/ontology/source"",         ""http://dbpedia.org/ontology/location""    ]']",['1.0'],['1.0']
405,['Count me the number of people whose military unit is involved with Close air support ?'],"['http://dbpedia.org/property/role,http://dbpedia.org/ontology/militaryUnit,http://dbpedia.org/ontology/MilitaryPerson,']",[],,
406,['Who were fighting the war where the QF Hotchkiss was used?'],"['http://dbpedia.org/ontology/usedInWar,http://dbpedia.org/ontology/territory,http://dbpedia.org/ontology/MilitaryConflict,']",[' [        "http://dbpedia.org/property/recoil"    ]'],['0.0'],['0.0']
407,"['What awards have been given to the artists coming out of the university of Melbourne, faculty of VCA and MCM?']","['http://dbpedia.org/ontology/training,http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/Artist,']",[],,
408,['what are some common surnames of female people?'],"['http://dbpedia.org/property/gender,']",[' []'],['0.0'],['0.0']
409,"['Give the total number of places to which airlines go, who also go to Glasgow?']","['http://dbpedia.org/ontology/targetAirport,http://dbpedia.org/property/destinations,http://dbpedia.org/ontology/Place,']","[' [        ""http://dbpedia.org/ontology/heritageRegister"",         ""http://dbpedia.org/ontology/location""    ]']",['0.333333333333'],['0.5']
410,"['Where does the rail route, which ends at the Moskovsky station, begins?']","['http://dbpedia.org/ontology/routeEnd,http://dbpedia.org/ontology/routeStart,']",[' [        "http://dbpedia.org/ontology/routeEnd"    ]'],['1.0'],['1.0']
411,['Who is the common prime minster of William Deaner and mark Latham ?'],"['http://dbpedia.org/ontology/primeMinister,http://dbpedia.org/property/primeminister,']",[' [        "http://dbpedia.org/ontology/residence"    ]'],['0.0'],['0.0']
412,['Count the number of sports played by the universities whihc also plays Volleyball ?'],"['http://dbpedia.org/ontology/athletics,http://dbpedia.org/property/athletics,']",[' [        "http://dbpedia.org/property/sports"    ]'],['0.0'],['0.0']
413,['In which religions are both Pope Gregory 1 and Edwin of northumbria reverred?'],"['http://dbpedia.org/property/veneratedIn,http://dbpedia.org/property/veneratedIn,']",[],,
414,['Which wine region of Bogdanua is the Croatian Inline hockey team part of ?'],"['http://dbpedia.org/ontology/wineRegion,http://dbpedia.org/ontology/country,']",[' [        "http://dbpedia.org/ontology/country"    ]'],['1.0'],['1.0']
415,['For which games are Sam Loyd and Eric Schiller both famous?'],"['http://dbpedia.org/ontology/knownFor,http://dbpedia.org/ontology/knownFor,']",[' [        "http://xmlns.com/foaf/0.1/gender"    ]'],['0.0'],['0.0']
416,['Count the number of religions followed by Janta Dal members.'],"['http://dbpedia.org/property/party,http://dbpedia.org/ontology/religion,']",[],,
417,['Which president of United States had vice president as John Adams?'],"['http://dbpedia.org/ontology/vicePresident,http://dbpedia.org/ontology/OfficeHolder,']",[' [        "http://dbpedia.org/ontology/vicePresident"    ]'],['1.0'],['1.0']
418,['Where are the tombs of kings and queens who have died in England?'],"['http://dbpedia.org/property/placeOfDeath,http://dbpedia.org/property/placeOfBurial,http://dbpedia.org/ontology/Royalty,']",[],,
419,['Where was the successor of Hank Brown born?'],"['http://dbpedia.org/property/successor,http://dbpedia.org/ontology/birthPlace,']",[' [        "http://dbpedia.org/ontology/successor"    ]'],['0.0'],['0.0']
420,['Greek writers have won which award?'],"['http://dbpedia.org/property/ethnicity,http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/Writer,']",[' [        "http://dbpedia.org/property/nationality"    ]'],['0.0'],['0.0']
421,['Count everyone who lives in a place where Indian English is an official language ?'],"['http://dbpedia.org/ontology/officialLanguage,http://dbpedia.org/ontology/residence,']",[' [        "http://dbpedia.org/ontology/officialLanguage"    ]'],['1.0'],['1.0']
422,['Where does Dennis DeConcini and Scott Berkun both live?'],"['http://dbpedia.org/property/residence,http://dbpedia.org/property/residence,']",[],,
423,['Where does John A Danaher III work?'],"['http://dbpedia.org/property/office,']",[],,
424,['Where was MacKenzie Miller born?'],"['http://dbpedia.org/property/birthPlace,']",[],,
425,['What disease led to the demise of Letitia MacTavish Hargrave and Martino Martini ?'],"['http://dbpedia.org/ontology/deathCause,http://dbpedia.org/ontology/deathCause,http://dbpedia.org/ontology/Disease,']","[' [        ""http://dbpedia.org/ontology/deathPlace"",         ""http://dbpedia.org/ontology/birthPlace""    ]']",['0.0'],['0.0']
426,['List the graves of the royalities which have been buried at Beeleigh Abbey ?'],"['http://dbpedia.org/property/placeOfBurial,http://dbpedia.org/property/placeOfBurial,http://dbpedia.org/ontology/Royalty,']",[],,
427,['In which country does the Auckland rugby union team play  ?'],"['http://dbpedia.org/ontology/league,http://dbpedia.org/ontology/country,']",[' [        "http://dbpedia.org/ontology/league"    ]'],['1.0'],['1.0']
428,['Name the sports played by Jamiatu Muslim Mindanao?'],"['http://dbpedia.org/ontology/athletics,']",[' [        "http://dbpedia.org/ontology/country"    ]'],['0.0'],['0.0']
429,['Which person naratted The Incredible Hulk and also the writer of Tales of Suspense ?'],"['http://dbpedia.org/property/narrated,http://dbpedia.org/property/writers,']",[],,
430,['What is the total number of participant in conflict of SFOR?'],"['http://dbpedia.org/property/battles,http://dbpedia.org/ontology/battle,']",[' [        "http://dbpedia.org/ontology/wikiPageRevisionID"    ]'],['0.0'],['0.0']
